Point,Comment,Inspected,Inspection comment,SiO2(Mass%),TiO2(Mass%),Al2O3(Mass%),Cr2O3(Mass%),FeO(Mass%),MnO(Mass%),NiO(Mass%),MgO(Mass%),CaO(Mass%),Na2O(Mass%),K2O(Mass%),P2O5(Mass%),Total(Mass%),SiO2(Norm%),TiO2(Norm%),Al2O3(Norm%),Cr2O3(Norm%),FeO(Norm%),MnO(Norm%),NiO(Norm%),MgO(Norm%),CaO(Norm%),Na2O(Norm%),K2O(Norm%),P2O5(Norm%),Total(Norm%),SiO2(Cation),TiO2(Cation),Al2O3(Cation),Cr2O3(Cation),FeO(Cation),MnO(Cation),NiO(Cation),MgO(Cation),CaO(Cation),Na2O(Cation),K2O(Cation),P2O5(Cation),Total(Cation),SiO2(mole%),TiO2(mole%),Al2O3(mole%),Cr2O3(mole%),FeO(mole%),MnO(mole%),NiO(mole%),MgO(mole%),CaO(mole%),Na2O(mole%),K2O(mole%),P2O5(mole%),Total(mole%),X,Y,Z,SiO2(K-ratio),TiO2(K-ratio),Al2O3(K-ratio),Cr2O3(K-ratio),FeO(K-ratio),MnO(K-ratio),NiO(K-ratio),MgO(K-ratio),CaO(K-ratio),Na2O(K-ratio),K2O(K-ratio),P2O5(K-ratio),Total(K-ratio),SiO2(K-raw),TiO2(K-raw),Al2O3(K-raw),Cr2O3(K-raw),FeO(K-raw),MnO(K-raw),NiO(K-raw),MgO(K-raw),CaO(K-raw),Na2O(K-raw),K2O(K-raw),P2O5(K-raw),Total(K-raw),Na(Net),Mg(Net),Al(Net),Si(Net),Cr(Net),Ti(Net),Ca(Net),K(Net),P(Net),Ni(Net),Fe(Net),Mn(Net),Na(BG-),Mg(BG-),Al(BG-),Si(BG-),Cr(BG-),Ti(BG-),Ca(BG-),K(BG-),P(BG-),Ni(BG-),Fe(BG-),Mn(BG-),Na(BG+),Mg(BG+),Al(BG+),Si(BG+),Cr(BG+),Ti(BG+),Ca(BG+),K(BG+),P(BG+),Ni(BG+),Fe(BG+),Mn(BG+),Na(L-value),Mg(L-value),Al(L-value),Si(L-value),Cr(L-value),Ti(L-value),Ca(L-value),K(L-value),P(L-value),Ni(L-value),Fe(L-value),Mn(L-value),Current,Na(Error%),Mg(Error%),Al(Error%),Si(Error%),Cr(Error%),Ti(Error%),Ca(Error%),K(Error%),P(Error%),Ni(Error%),Fe(Error%),Mn(Error%),Total(Error%),Na(D.L.),Mg(D.L.),Al(D.L.),Si(D.L.),Cr(D.L.),Ti(D.L.),Ca(D.L.),K(D.L.),P(D.L.),Ni(D.L.),Fe(D.L.),Mn(D.L.), ,,Bi(Net),Ar(Net),Br(Net),As(Net)
248,KPulsF_H8_4_line1 Line 006,KPulsF_ABW_H8_4_line1,,54.98,0.2666,1.1582,0.7394,3.34,0.0756,0.0155,16.33,21.24,1.5,0.0078,0.0056,99.6587,55.1683,0.2675,1.1622,0.7419,3.3514,0.0759,0.0156,16.3859,21.3127,1.5051,0.0078,0.0056,100,8.01,0.0292,0.1989,0.0852,0.407,0.0093,0.0018,3.547,3.315,0.425,0.0015,0.0007,16.0306,51.102,0.1864,0.6344,0.2717,2.5963,0.0595,0.0116,22.6261,21.1535,1.3517,0.0046,0.0022,100,-22.9859,28.1811,10.818,51.8684,0.2563,0.9835,0.6741,3.3017,0.0688,0.0137,16.6425,21.008,1.3367,0.0075,0.0045,96.1657,99.843,0.6356,0.9836,1.4842,21.693,0.1462,0.0137,62.122,44.042,9.05,0.0314,0.0125,240.0572,7165.1,130112.2,10638,522677.5,15206,4283.3,439089.1,167.4,13.4,88.8,19058.9,400.2,329.9,592.8,1296.1,0,5684.9,2970.5,2032.8,1314.5,108.8,2026.1,1398.2,993,281.3,579.4,740.1,1301.1,4933,2776.3,1924,1220.7,105.5,1895.5,1217.3,905.9,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.72,3.38,0.54,1.67,0.27,2.37,5.24,0.34,69.8,239.45,138.45,0.95,23.22,485.68,126,85,64,69,102,102,68,51,104,187,108,145,1211, ,351.6,612.9,406.9,728.4
249,KPulsF_H8_4_line1 Line 007,KPulsF_ABW_H8_4_line1,,55,0.2755,1.1462,0.7372,3.32,0.0793,0.0102,16.36,21.15,1.53,0.0064,0.0036,99.6184,55.2107,0.2766,1.1506,0.74,3.3327,0.0796,0.0102,16.4227,21.231,1.5359,0.0064,0.0036,100,8.014,0.0302,0.1968,0.0849,0.405,0.0098,0.0012,3.554,3.302,0.432,0.0012,0.0004,16.0315,51.1318,0.1926,0.628,0.2709,2.5813,0.0624,0.0076,22.6726,21.0685,1.379,0.0038,0.0014,100,-22.9859,28.2008,10.818,51.8804,0.2648,0.9732,0.6721,3.2886,0.0721,0.009,16.6733,20.9217,1.3591,0.0061,0.0029,96.1234,99.866,0.6567,0.9733,1.4798,21.607,0.1533,0.009,62.237,43.861,9.202,0.0258,0.008,240.0789,7285.4,130353.1,10525.5,522796.7,15161.5,4425.1,437280.3,137.2,8.4,58.6,18984.1,420.1,358.2,572.4,1210,0,5749,2979.1,2080.3,1310.5,108.8,2033.5,1369,965.7,259.4,540.6,733,1287,4955.6,2652.7,1814.2,1188.3,107.1,1854.4,1195,856.9,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.75,3.35,0.54,1.67,0.27,2.38,5.08,0.34,83.81,373.2,209.54,0.95,21.87,703,126,83,63,69,103,101,67,50,104,186,107,142,1201, ,348.1,620.9,406.7,733
250,KPulsF_H8_4_line1 Line 008,KPulsF_ABW_H8_4_line1,,54.84,0.2637,1.1577,0.7484,3.3,0.082,0.0174,16.4,21.23,1.46,0.0068,0,99.506,55.1123,0.265,1.1634,0.7521,3.3164,0.0824,0.0175,16.4814,21.3354,1.4672,0.0068,0,100,8.003,0.0289,0.1991,0.0863,0.403,0.0101,0.002,3.567,3.319,0.413,0.0013,0,16.0327,51.0258,0.1845,0.6348,0.2753,2.5679,0.0646,0.013,22.7471,21.1659,1.317,0.004,0,100,-22.9859,28.2206,10.818,51.7235,0.2535,0.9828,0.6823,3.2664,0.0746,0.0154,16.7148,20.9999,1.2978,0.0065,0,96.0175,99.564,0.6287,0.9829,1.5022,21.461,0.1585,0.0154,62.392,44.025,8.787,0.0271,0,239.5438,6957.3,130677.8,10631,521216.7,15390.8,4236,438915.5,143.9,-1.7,100.4,18855.2,435.1,326.4,615.9,1325.5,0,5548.1,2962.3,2011.7,1343.9,112.1,2016.7,1374.1,994.1,264.4,574.1,754.8,1295.4,4917.1,2684.5,1887.9,1166.5,120.5,1832.6,1193.3,820.1,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.75,3.43,0.54,1.67,0.27,2.34,5.26,0.34,80.21,300,121.92,0.95,21.18,538.11,124,85,65,69,102,101,67,50,108,185,107,142,1205, ,349.8,625.9,398.3,724.7
251,KPulsF_H8_4_line1 Line 009,KPulsF_ABW_H8_4_line1,,54.89,0.2682,1.1559,0.7558,3.25,0.0751,0.0119,16.4,21.3,1.44,0.0071,0.0013,99.5553,55.1352,0.2694,1.1611,0.7592,3.2645,0.0754,0.012,16.4733,21.3951,1.4464,0.0071,0.0013,100,8.004,0.0294,0.1987,0.0871,0.396,0.0093,0.0014,3.565,3.328,0.408,0.0013,0.0002,16.0284,51.044,0.1876,0.6335,0.2779,2.5276,0.0592,0.0089,22.7345,21.2239,1.2983,0.0042,0.0005,100,-22.9859,28.2403,10.818,51.778,0.2578,0.9816,0.6889,3.2101,0.0683,0.0105,16.7261,21.0686,1.2841,0.0067,0.001,96.0817,99.669,0.6392,0.9817,1.5168,21.091,0.1451,0.0105,62.434,44.169,8.694,0.0283,0.0028,239.3814,6883.5,130766.1,10616.9,521767,15540.7,4306.8,440355.4,150.9,3.3,68.7,18529.8,397.3,333.6,622,1280.8,0,5792.1,3004.2,2003.3,1292.5,105.6,2000,1351.2,1004.2,253.1,611.9,736,1321,4967.3,2799.7,1855.8,1225.5,95.6,1855.8,1165.1,875.1,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.65,3.45,0.54,1.67,0.27,2.34,5.24,0.34,77.04,1000.77,179.13,0.96,23.29,1295.04,123,87,64,70,103,102,67,50,101,186,106,144,1203, ,345.4,603.5,392.3,709.1
252,KPulsF_H8_4_line1 Line 010,KPulsF_ABW_H8_4_line1,,54.86,0.2626,1.1675,0.7483,3.22,0.0666,0.0179,16.36,21.3,1.47,0.0097,0.0044,99.487,55.1429,0.264,1.1735,0.7522,3.2366,0.0669,0.018,16.4444,21.4098,1.4776,0.0098,0.0044,100,8.005,0.0288,0.2008,0.0863,0.393,0.0082,0.0021,3.558,3.331,0.415,0.0018,0.0005,16.0305,51.0567,0.1838,0.6404,0.2753,2.5063,0.0525,0.0134,22.697,21.2408,1.3264,0.0058,0.0017,100,-22.9859,28.2601,10.818,51.751,0.2524,0.9916,0.682,3.1858,0.0605,0.0158,16.6808,21.0705,1.3045,0.0092,0.0035,96.0077,99.617,0.6258,0.9917,1.5016,20.932,0.1287,0.0158,62.265,44.173,8.832,0.0387,0.0097,239.131,6993,130412.3,10725.8,521495.1,15383.8,4217.2,440392.2,206.2,11.7,102.3,18390.9,353.7,318.5,601.7,1290.7,0,5754.3,2960.1,1976.2,1247.1,107.3,1991.3,1406.3,1027.5,259.8,605.1,734.2,1307.4,5028.5,2683.5,1808.6,1180,98.9,1796.8,1180,876.6,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.66,3.42,0.54,1.66,0.27,2.36,5.28,0.34,55.95,299.19,118.43,0.97,26.14,514.55,122,86,64,70,103,101,66,49,102,184,108,145,1200, ,340.3,605.1,398.9,712.4
253,KPulsF_H8_4_line1 Line 011,KPulsF_ABW_H8_4_line1,,54.81,0.261,1.1657,0.763,3.22,0.0793,0.0161,16.4,21.35,1.46,0.0141,0.0074,99.5466,55.0596,0.2622,1.171,0.7665,3.2347,0.0797,0.0162,16.4747,21.4472,1.4666,0.0142,0.0074,100,7.996,0.0286,0.2005,0.088,0.392,0.0098,0.0019,3.566,3.337,0.413,0.0026,0.0009,16.0363,50.9767,0.1826,0.639,0.2805,2.5046,0.0625,0.012,22.7376,21.2767,1.3165,0.0084,0.0029,100,-22.9859,28.2798,10.818,51.696,0.2509,0.9898,0.6955,3.1808,0.0721,0.0142,16.718,21.1125,1.299,0.0135,0.0059,96.0482,99.511,0.6221,0.9899,1.5312,20.899,0.1533,0.0142,62.404,44.261,8.795,0.0565,0.0165,239.2537,6963.8,130703.3,10706.6,520939.9,15688.2,4192.7,441270.6,300.4,18.5,92.3,18361.9,419.6,312.2,555.6,1277.3,0,5809,3032.9,2009.1,1255.4,92.3,2082.9,1367.9,988.6,285.3,552.2,743.5,1252.1,5008.4,2719,1831.2,1119.5,112.4,1834.5,1171.5,911.4,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.58,3.43,0.54,1.66,0.27,2.33,5.34,0.34,38.69,181.58,133.25,0.97,22.28,390.68,125,83,64,68,103,102,67,49,103,187,107,145,1203, ,347.4,605.9,394.4,723.4
254,KPulsF_H8_4_line1 Line 012,KPulsF_ABW_H8_4_line1,,54.67,0.2639,1.1631,0.7594,3.2,0.0761,0.0201,16.39,21.27,1.44,0.0072,0.0035,99.2633,55.0757,0.2659,1.1717,0.765,3.2237,0.0767,0.0202,16.5116,21.4279,1.4507,0.0073,0.0035,100,7.997,0.029,0.2005,0.0878,0.392,0.0094,0.0024,3.574,3.333,0.408,0.0013,0.0004,16.0348,50.9807,0.1851,0.6392,0.28,2.4956,0.0601,0.0151,22.7837,21.2529,1.3019,0.0043,0.0014,100,-22.9859,28.2996,10.818,51.5562,0.2536,0.9875,0.6922,3.1697,0.0692,0.0178,16.7159,21.0352,1.2792,0.0069,0.0028,95.7862,99.242,0.6289,0.9876,1.5239,20.826,0.1471,0.0178,62.396,44.099,8.661,0.0289,0.0077,238.5659,6856.9,130686.4,10681.3,519528.4,15613.4,4237.3,439651,152.7,8.4,115.8,18296.7,402.8,345.7,620.9,1238.5,0,5813.1,2950.2,1981.9,1270.3,109.1,1997,1399.6,1010.2,260.1,560.5,751.8,1277.1,4809.5,2601.1,1812.4,1223.4,102.4,1832.5,1240.1,837.4,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.59,3.46,0.54,1.66,0.27,2.33,5.24,0.34,75.31,381.82,105.76,0.97,22.85,600.55,125,85,64,69,103,100,66,50,103,185,109,143,1202, ,345.7,595.7,401.1,706.5
255,KPulsF_H8_4_line1 Line 013,KPulsF_ABW_H8_4_line1,,54.84,0.256,1.1708,0.7432,3.24,0.0808,0.0069,16.41,21.34,1.45,0.0072,0.0032,99.5481,55.089,0.2572,1.1761,0.7466,3.2547,0.0812,0.0069,16.4845,21.4369,1.4566,0.0072,0.0032,100,7.999,0.0281,0.2013,0.0857,0.395,0.01,0.0008,3.568,3.336,0.41,0.0013,0.0004,16.0356,50.995,0.179,0.6416,0.2732,2.5197,0.0636,0.0052,22.7472,21.2627,1.3072,0.0043,0.0013,100,-22.9859,28.3194,10.818,51.7225,0.2461,0.9942,0.6774,3.2058,0.0735,0.0061,16.7338,21.1092,1.2894,0.0068,0.0026,96.0673,99.562,0.6102,0.9943,1.4914,21.063,0.1562,0.0061,62.463,44.254,8.73,0.0287,0.0072,239.3661,6911.7,130827.5,10753.6,521203.4,15280.3,4112.1,441196.7,152.7,8.4,40.3,18504.5,428,350.8,605.9,1282.3,0,5760.3,3123.5,2071.2,1361.2,92.3,2007.4,1349.4,976.8,248.4,552.2,730.1,1314.2,4880.8,2698.9,1955.3,1263.8,95.7,1868.1,1203.4,867.7,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.58,3.44,0.54,1.66,0.27,2.36,5.44,0.34,77.71,385.16,304.95,0.96,21.64,804.47,124,84,64,70,103,102,68,52,98,186,107,143,1201, ,342.4,597.5,387.7,704.9
256,KPulsF_H8_4_line1 Line 014,KPulsF_ABW_H8_4_line1,,54.82,0.2599,1.1771,0.762,3.22,0.0783,0.0113,16.35,21.36,1.47,0.0128,0.0035,99.5249,55.0817,0.2611,1.1827,0.7656,3.2354,0.0787,0.0114,16.428,21.462,1.477,0.0129,0.0035,100,7.998,0.0285,0.2024,0.0879,0.393,0.0097,0.0013,3.557,3.34,0.416,0.0024,0.0004,16.0366,51.0077,0.1819,0.6455,0.2803,2.5057,0.0617,0.0085,22.678,21.2957,1.3261,0.0076,0.0014,100,-22.9859,28.3391,10.818,51.7069,0.2498,0.9997,0.6945,3.19,0.0712,0.01,16.6746,21.1316,1.3076,0.0122,0.0028,96.0508,99.532,0.6193,0.9998,1.5291,20.959,0.1514,0.01,62.242,44.301,8.853,0.0511,0.0079,239.2556,7009.9,130363.9,10813.3,521048.2,15666.6,4172.4,441668.6,271.7,8.4,65.4,18413.6,415.9,368.9,588.6,1274.5,0,5666.6,2981.7,1957.1,1249.4,104,2030.9,1358.4,1007.9,234.8,587,726.1,1311.4,4707.4,2664.8,1849.7,1214.2,105.7,1858.1,1209.1,870.4,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.63,3.41,0.54,1.65,0.27,2.31,5.33,0.34,43.18,373.22,189.12,0.97,22.41,642.75,124,85,64,70,101,101,66,50,103,187,108,144,1203, ,343.8,600.4,397.5,712.7
257,KPulsF_H8_4_line1 Line 015,KPulsF_ABW_H8_4_line1,,54.89,0.2638,1.1582,0.7558,3.22,0.0788,0.0059,16.41,21.31,1.49,0.0088,0.0129,99.6042,55.1081,0.2648,1.1628,0.7588,3.2328,0.0791,0.0059,16.4752,21.3947,1.4959,0.0088,0.013,100,8,0.0289,0.199,0.0871,0.393,0.0097,0.0007,3.566,3.328,0.422,0.0016,0.0016,16.0376,51.0197,0.1844,0.6345,0.2777,2.5031,0.062,0.0044,22.7375,21.2237,1.3427,0.0052,0.0051,100,-22.9859,28.3589,10.818,51.778,0.2536,0.9834,0.6889,3.1871,0.0716,0.0052,16.736,21.0753,1.3291,0.0084,0.0103,96.127,99.669,0.6288,0.9835,1.5167,20.94,0.1523,0.0052,62.471,44.183,8.999,0.0352,0.0288,239.6125,7125.1,130843,10636.4,521763.2,15539.9,4236.8,440497.1,186.4,31.9,33.6,18398,418.1,288.8,597.8,1293,0,5701.1,2958.9,2146.1,1415.6,102.4,1998.3,1407.2,980.7,213.3,586.1,747.3,1314.9,4984,2738.9,1865.7,1146.9,87.3,1902.6,1152,836.3,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.55,3.37,0.54,1.67,0.27,2.34,5.28,0.34,62.93,102.43,358.47,0.97,22.01,560.62,114,85,64,70,103,101,68,51,98,187,107,142,1190, ,340.9,611.3,403,717
258,KPulsF_H8_4_line1 Line 016,KPulsF_ABW_H8_4_line1,,54.81,0.2754,1.1825,0.7583,3.23,0.0769,0.0138,16.43,21.31,1.46,0.0073,0.0051,99.5593,55.0526,0.2766,1.1877,0.7617,3.2443,0.0772,0.0139,16.5027,21.4043,1.4665,0.0073,0.0051,100,7.994,0.0302,0.2033,0.0874,0.394,0.0095,0.0016,3.573,3.329,0.413,0.0014,0.0006,16.037,50.9673,0.1926,0.648,0.2788,2.5119,0.0606,0.0103,22.775,21.2329,1.3162,0.0043,0.002,100,-22.9859,28.3786,10.818,51.6897,0.2647,1.0039,0.6912,3.1967,0.0699,0.0122,16.7593,21.0739,1.298,0.0069,0.0041,96.0705,99.499,0.6563,1.004,1.5218,21.003,0.1487,0.0122,62.558,44.18,8.788,0.0292,0.0114,239.4116,6957.7,131025.9,10858,520876.4,15592.7,4422.4,440463.4,154.5,13.4,78.9,18453.7,408,327.4,627.9,1271,0,5750.5,2871.1,2001.3,1334.8,129.3,2038.3,1400.3,980.5,209.9,624.6,752.2,1339.8,4855.6,2599.1,1853.6,1187,90.7,1784.8,1177,878.1,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.56,3.42,0.54,1.65,0.27,2.33,5.05,0.34,74.91,262.24,153.02,0.97,22.7,527.44,117,88,64,71,102,99,67,50,105,185,108,144,1200, ,340.8,601.1,399.6,701.8
259,KPulsF_H8_4_line1 Line 017,KPulsF_ABW_H8_4_line1,,54.88,0.265,1.1891,0.7647,3.23,0.0787,0.011,16.37,21.36,1.45,0.011,0.0072,99.6167,55.0912,0.266,1.1937,0.7676,3.2424,0.079,0.011,16.433,21.4422,1.4556,0.011,0.0072,100,7.999,0.029,0.2043,0.0881,0.394,0.0097,0.0013,3.556,3.336,0.41,0.002,0.0009,16.0303,51.0202,0.1853,0.6515,0.281,2.5113,0.062,0.0082,22.6865,21.2777,1.3069,0.0065,0.0028,100,-22.9859,28.3984,10.818,51.7749,0.2547,1.01,0.697,3.1988,0.0715,0.0097,16.6921,21.1301,1.2891,0.0104,0.0057,96.1442,99.663,0.6316,1.0101,1.5345,21.017,0.1521,0.0097,62.307,44.298,8.728,0.0439,0.016,239.4109,6910.4,130500.9,10924.5,521734.8,15722,4256.2,441637.3,233.6,18.5,62.2,18465.3,416.9,341.2,603.5,1296,0,5745.5,3022.4,1951.6,1243.9,117.7,2039,1403.6,1003.5,253.8,610.2,726.2,1297.7,5005.9,2703,1833.9,1178.3,89.1,1877.6,1154.8,859,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.49,3.45,0.54,1.65,0.27,2.32,5.27,0.34,49.64,184.18,195.89,0.97,22.26,466.78,124,87,64,70,103,102,66,50,102,187,107,144,1206, ,342.9,598.4,400.1,721.1
260,KPulsF_H8_4_line1 Line 018,KPulsF_ABW_H8_4_line1,,54.82,0.2594,1.1841,0.7597,3.23,0.0667,0.0172,16.4,21.33,1.45,0.0054,0.0048,99.5273,55.0804,0.2606,1.1897,0.7633,3.2453,0.067,0.0173,16.4779,21.4313,1.4569,0.0054,0.0048,100,7.997,0.0285,0.2036,0.0876,0.394,0.0082,0.002,3.566,3.335,0.411,0.001,0.0006,16.0345,50.9959,0.1815,0.6492,0.2794,2.5129,0.0526,0.0129,22.742,21.2609,1.3077,0.0032,0.0019,100,-22.9859,28.4181,10.818,51.6991,0.2494,1.0055,0.6924,3.1941,0.0607,0.0152,16.7226,21.1001,1.2902,0.0052,0.0039,96.0382,99.517,0.6183,1.0056,1.5245,20.986,0.129,0.0152,62.421,44.235,8.735,0.0217,0.0108,239.2191,6916.6,130738,10875.9,520970.1,15618.7,4166.1,441013.8,116,11.8,99.2,18438.1,353.1,322.8,598.5,1299.6,0,5744.8,2985.9,2071.3,1405.5,99.2,2009.1,1387,1022.2,272.4,600.2,704.4,1306.3,4978.1,2767.3,1852.7,1197,90.8,1854.4,1193.7,904.5,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.48,3.45,0.54,1.65,0.27,2.33,5.37,0.34,101.41,262.32,124.45,0.97,26.27,529.37,124,86,64,70,103,102,68,51,98,186,108,146,1206, ,343,601.9,393.4,707.8
261,KPulsF_H8_4_line1 Line 019,KPulsF_ABW_H8_4_line1,,54.83,0.262,1.1856,0.7624,3.24,0.0824,0.0113,16.45,21.37,1.48,0.0053,0.0034,99.6824,55.0047,0.2628,1.1894,0.7648,3.2503,0.0827,0.0113,16.5024,21.4381,1.4847,0.0053,0.0034,100,7.99,0.0287,0.2036,0.0878,0.394,0.0102,0.0013,3.573,3.337,0.418,0.001,0.0004,16.045,50.9215,0.183,0.6489,0.2799,2.5165,0.0648,0.0084,22.774,21.2658,1.3326,0.0031,0.0013,100,-22.9859,28.4379,10.818,51.7116,0.2518,1.0065,0.6949,3.2006,0.0749,0.01,16.7703,21.1421,1.3166,0.005,0.0027,96.187,99.541,0.6244,1.0066,1.53,21.029,0.1592,0.01,62.599,44.323,8.914,0.0212,0.0076,239.765,7057.6,131112.4,10885.6,521095.6,15676.4,4207.7,441885.4,112.6,8.4,65.5,18475.9,436.9,297.4,583.1,1295.6,0,5814.1,2967.6,2024.9,1403.1,109.2,1949.3,1388,996.5,270.5,568,709.1,1312.4,4762.2,2739,1917.3,1238.4,105.9,1873.6,1220,875.5,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.51,3.4,0.54,1.65,0.27,2.32,5.31,0.34,104.64,393.86,187.32,0.97,21.39,722.01,122,84,64,70,102,102,68,52,105,185,108,144,1206, ,341.1,606.6,405,702.4
262,KPulsF_H8_4_line1 Line 020,KPulsF_ABW_H8_4_line1,,54.96,0.2661,1.1806,0.7631,3.24,0.0664,0.0085,16.41,21.46,1.44,0.0069,0.0029,99.8045,55.0677,0.2666,1.1829,0.7646,3.2463,0.0665,0.0085,16.4421,21.502,1.4428,0.0069,0.0029,100,7.996,0.0291,0.2025,0.0878,0.394,0.0082,0.001,3.56,3.346,0.407,0.0013,0.0004,16.0333,50.9886,0.1857,0.6455,0.2799,2.5139,0.0522,0.0063,22.6947,21.3329,1.2952,0.0041,0.0011,100,-22.9859,28.4576,10.818,51.8513,0.2557,1.0027,0.6955,3.202,0.0604,0.0075,16.7411,21.2322,1.284,0.0066,0.0023,96.3412,99.81,0.6341,1.0028,1.5312,21.038,0.1284,0.0075,62.49,44.512,8.693,0.0277,0.0064,239.8811,6881.7,130883.7,10845.1,522501.7,15687.2,4272.5,443773.5,147.9,6.7,48.7,18482.9,352.8,359.5,586.4,1327.3,0,5759.4,3041,2080,1345.8,107.5,2034.6,1384.4,1097.1,243.6,566.2,749.3,1322.2,4932.8,2642.8,1836.4,1268.5,109.2,1881.7,1229.8,942.5,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.52,3.45,0.54,1.65,0.27,2.32,5.24,0.34,80.09,465.23,251.17,0.97,27.01,838.28,124,84,65,70,103,101,67,51,105,187,109,151,1217, ,349.5,603.2,401.5,705.7
263,KPulsF_H8_4_line1 Line 021,KPulsF_ABW_H8_4_line1,,54.93,0.2633,1.1801,0.7526,3.22,0.0829,0.0087,16.44,21.41,1.47,0.0093,0.0018,99.7687,55.0573,0.2639,1.1828,0.7543,3.2275,0.0831,0.0087,16.4781,21.4596,1.4734,0.0093,0.0018,100,7.995,0.0288,0.2025,0.0866,0.392,0.0102,0.001,3.568,3.339,0.414,0.0017,0.0002,16.039,50.9692,0.1837,0.6453,0.2761,2.4988,0.0652,0.0065,22.7399,21.2867,1.3224,0.0055,0.0007,100,-22.9859,28.4774,10.818,51.8181,0.2531,1.0021,0.6859,3.1828,0.0754,0.0077,16.7695,21.1759,1.303,0.0088,0.0015,96.2838,99.746,0.6276,1.0022,1.5101,20.912,0.1602,0.0077,62.596,44.394,8.822,0.0372,0.0041,239.8191,6984.4,131106.1,10838.8,522170.1,15471.5,4229.3,442600.5,198.4,5,50.4,18372.8,438.7,339.5,618.6,1264.1,0,5817.8,3025.7,2047.4,1331.3,127.8,2037.3,1405.3,948.1,250.5,588.3,722.8,1285.9,4881.5,2726.5,1887.7,1218.7,99.2,1813.8,1164.9,894.3,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.49,3.42,0.54,1.65,0.27,2.35,5.31,0.34,59.5,733.5,242.83,0.97,21.15,1071.83,123,86,64,69,103,102,68,51,107,186,107,143,1209, ,346.3,615.2,398.4,712.7
264,KPulsF_H8_4_line1 Line 022,KPulsF_ABW_H8_4_line1,,55,0.257,1.1676,0.7581,3.23,0.077,0.006,16.55,21.41,1.47,0.0064,0,99.9321,55.0374,0.2572,1.1684,0.7586,3.2322,0.0771,0.006,16.5612,21.4245,1.471,0.0064,0,100,7.992,0.0281,0.2,0.0871,0.392,0.0095,0.0007,3.585,3.334,0.415,0.0012,0,16.0446,50.9289,0.179,0.6372,0.2775,2.5014,0.0604,0.0045,22.8449,21.2428,1.3197,0.0038,0,100,-22.9859,28.4971,10.818,51.8757,0.247,0.9911,0.6909,3.1925,0.07,0.0053,16.8825,21.1774,1.3085,0.0061,0,96.447,99.857,0.6124,0.9912,1.5212,20.976,0.1488,0.0053,63.018,44.397,8.859,0.0255,0,240.4114,7014.1,131988.9,10719.6,522752.2,15586.8,4127.4,442629.4,136.2,-5,35.3,18428,408.5,343,598.5,1336.6,0,5778.4,2942.2,1951.9,1366.8,112.6,2096.5,1392.1,966.7,248.8,522.9,736.4,1314.7,4909.2,2686.6,1869.5,1286.2,105.9,1877.9,1208.8,907.9,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.48,3.42,0.54,1.67,0.27,2.34,5.37,0.34,87.44,300,357.24,0.97,22.78,782.38,123,83,65,70,103,101,67,52,105,189,108,144,1210, ,341.3,608.6,403.5,712.8
